0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
11,16,19,25,17,17,17,19,24,24,15,22,19,16,15,25,20,19,17,23,22,20,20,20,15,20,23,20,18,15,19,21,15,20,19,20,18,24,19,15,16,19,24,25,22,16,22,17,25,17,22,25,15,18,19,15,19,15,19,22,25,23,15,25,22,20,17,16,22,17,21,17,20,23,17,20,23,23,16,21,15,15,24,17,22,17,24,17,22,19,21,16,25,20,17,24,22,24,25,23,24,17,15,23,20,22,23,25
12,24,25,18,23,15,19,16,18,18,25,16,25,15,19,25,19,17,18,21,22,17,23,15,20,18,24,18,20,21,16,21,18,18,18,20,23,21,20,21,24,17,20,20,25,18,18,23,17,17,24,18,24,15,25,19,18,22,21,23,15,15,20,15,25,20,22,18,17,20,25,24,18,16,17,21,16,22,20,15,19,18,18,25,20,18,22,20,25,23,22,24,19,16,15,16,17,24,17,15,20,25,17,22,19,16,23,20
13,19,17,24,22,23,22,18,15,22,19,24,20,18,25,20,18,18,23,23,17,21,17,16,18,16,25,17,21,16,23,23,17,19,18,19,21,24,24,20,20,15,15,18,20,21,17,20,21,17,25,20,24,18,19,19,22,22,15,20,15,16,15,23,19,25,23,18,15,15,16,25,22,21,20,19,20,15,21,16,15,20,22,21,23,16,25,15,24,22,20,16,23,17,20,24,25,25,21,22,25,17,21,19,17,15,18,16
14,25,21,16,16,18,22,18,20,17,23,17,24,16,22,25,18,24,23,22,15,15,21,22,17,25,25,20,17,17,25,20,17,18,16,21,15,22,22,20,16,20,23,16,22,24,16,25,15,18,22,23,17,16,22,19,25,19,19,25,22,19,21,18,19,15,23,19,15,23,23,23,22,18,20,22,17,18,22,15,23,23,22,24,24,20,22,23,15,16,19,16,22,25,15,24,21,17,18,25,17,22,15,21,15,19,22,18
15,15,25,18,15,20,16,23,24,22,17,23,20,18,23,21,16,18,21,16,23,20,19,17,24,20,24,19,16,20,24,25,18,15,15,21,17,15,24,22,15,18,23,21,20,17,17,22,21,22,20,20,16,16,16,15,23,24,18,15,24,25,23,21,16,17,16,22,16,23,15,20,22,25,22,18,21,22,22,25,19,21,18,24,18,23,19,23,18,25,23,15,24,24,15,17,17,23,19,16,24,22,21,16,22,19,15,24
16,21,24,15,17,24,23,18,19,16,15,21,19,22,19,17,23,19,16,16,18,25,19,17,16,17,23,20,22,16,24,18,20,23,21,16,17,24,15,23,25,16,24,19,16,22,18,22,19,22,22,25,23,15,24,25,25,25,21,19,19,22,17,25,23,22,20,25,17,22,22,24,15,16,24,19,21,18,17,25,15,19,16,16,17,16,16,25,24,21,16,21,23,22,19,22,18,20,16,23,25,19,23,16,25,20,17,20
17,24,16,25,17,19,19,18,16,23,24,23,20,23,25,18,20,18,24,25,22,25,17,24,18,24,21,17,15,19,17,21,21,24,16,21,22,17,24,17,25,18,19,20,15,19,21,22,17,15,22,23,17,16,16,15,19,25,18,19,25,20,17,17,16,25,23,23,24,21,25,19,24,24,17,15,17,15,24,19,24,23,15,15,21,17,19,18,20,22,20,15,16,22,20,20,17,25,18,15,25,20,24,17,24,25,24,24
18,19,19,17,16,16,18,16,22,22,15,21,21,15,24,25,24,24,17,21,22,22,24,16,19,23,18,22,23,25,25,19,20,24,24,22,21,22,25,19,16,23,21,24,20,25,19,23,24,18,19,19,19,23,25,20,23,19,23,23,15,15,25,17,23,24,24,16,20,25,21,16,21,20,19,19,23,20,15,19,17,19,19,16,20,22,22,17,15,25,17,18,16,18,21,16,23,16,22,18,20,15,25,21,22,20,25,21
19,20,24,17,22,23,19,19,19,23,23,24,17,21,19,16,17,15,16,24,18,24,15,24,21,19,22,24,18,18,21,19,21,15,17,25,18,15,23,15,20,15,21,24,21,23,19,22,15,18,22,17,23,25,19,15,21,23,23,25,25,19,15,20,15,21,15,18,20,20,19,22,17,20,15,16,19,25,23,20,17,25,21,25,25,22,15,25,24,25,15,19,16,25,16,23,21,25,22,18,22,21,17,15,23,19,22,17
20,25,24,20,23,24,16,20,22,16,15,17,19,21,24,23,23,21,15,16,22,16,25,23,19,18,23,19,20,20,24,25,24,15,24,19,15,23,18,20,18,25,24,15,18,16,16,21,25,18,21,24,21,22,25,19,22,19,22,15,17,25,25,20,20,22,17,15,22,18,16,23,18,24,24,21,15,17,15,22,23,15,22,22,16,25,20,23,25,21,24,24,16,19,17,25,16,23,15,21,22,18,24,16,25,18,21,17
21,13,11,11,15,11,10,11,13,15,14,12,13,12,11,10,10,15,13,11,12,15,13,14,15,15,12,14,11,14,15,14,14,14,11,10,11,11,15,15,13,11,14,12,14,13,14,12,15,15,11,10,11,15,11,12,13,13,13,14,15,10,14,14,13,13,15,11,15,14,12,11,15,12,13,15,12,14,15,15,10,15,15,14,12,13,10,13,13,11,10,11,11,10,10,13,10,13,10,10,13,15,10,12,14,13,11,11
22,11,12,10,10,10,11,10,11,12,10,13,14,11,13,10,10,10,13,11,14,14,10,10,14,12,15,15,15,10,13,13,13,10,13,13,12,15,10,15,11,14,10,14,10,15,11,13,13,15,12,10,15,10,13,11,14,15,11,11,13,12,14,12,10,10,12,14,14,14,12,13,14,10,11,10,12,13,14,13,11,15,10,12,10,11,12,14,14,15,15,15,10,11,11,14,11,13,15,13,12,13,12,13,14,15,12,11
23,13,12,12,11,13,13,14,13,12,10,12,15,13,12,10,13,13,12,12,14,14,12,11,14,10,15,14,12,14,15,10,10,10,14,12,13,11,12,10,13,13,14,15,11,11,12,10,11,10,13,15,15,13,10,11,11,15,14,11,10,13,14,15,10,10,14,11,14,11,13,11,10,12,13,10,15,14,11,15,12,14,12,10,12,15,13,12,15,14,13,12,11,10,12,11,15,12,14,10,12,15,11,14,10,15,14,12
24,11,13,15,12,15,10,11,13,13,12,13,15,13,13,11,14,10,12,10,13,15,15,13,13,10,14,11,12,12,15,15,13,11,15,10,12,13,11,15,12,13,15,13,14,15,12,15,13,13,13,15,12,10,10,11,15,15,15,14,11,12,10,10,11,11,14,13,15,12,12,14,12,12,12,14,12,14,14,12,12,14,15,13,10,15,13,15,15,10,10,15,13,13,11,12,12,14,11,15,12,14,10,14,13,12,10,12
25,7,5,8,8,6,5,8,7,6,6,5,7,7,7,6,8,5,8,7,6,7,8,6,6,6,7,5,7,5,6,6,7,7,7,8,7,5,7,5,5,7,8,5,6,7,5,5,8,5,5,5,5,7,6,7,7,8,7,7,7,8,7,8,5,5,8,8,6,7,5,5,6,8,8,6,6,6,6,5,5,8,8,8,7,7,5,7,6,8,6,5,5,5,7,8,5,7,7,8,6,8,6,5,7,6,8,5
